From	To	Species	Gene Name
22774	MGI:107201	Mus musculus	zinc finger protein of the cerebellum 4(Zic4)
18933	MGI:97712	Mus musculus	paired related homeobox 1(Prrx1)
17681	MGI:1333884	Mus musculus	musculin(Msc)
22778	MGI:1342540	Mus musculus	IKAROS family zinc finger 1(Ikzf1)
18227	MGI:1352456	Mus musculus	nuclear receptor subfamily 4, group A, member 2(Nr4a2)
11878	MGI:1097716	Mus musculus	aristaless related homeobox(Arx)
17684	MGI:1306784	Mus musculus	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2(Cited2)
59092	MGI:1890471	Mus musculus	poly(rC) binding protein 4(Pcbp4)
229542	MGI:2443225	Mus musculus	GATA zinc finger domain containing 2B(Gatad2b)
18935	MGI:1100882	Mus musculus	paired-like homeobox 2b(Phox2b)
59093	MGI:1890470	Mus musculus	poly(rC) binding protein 3(Pcbp3)
18092	MGI:97351	Mus musculus	NK2 homeobox 6(Nkx2-6)
22278	MGI:99542	Mus musculus	upstream transcription factor 1(Usf1)
18091	MGI:97350	Mus musculus	NK2 homeobox 5(Nkx2-5)
18096	MGI:1206039	Mus musculus	NK6 homeobox 1(Nkx6-1)
18094	MGI:1270158	Mus musculus	NK2 homeobox 9(Nkx2-9)
18095	MGI:97352	Mus musculus	NK-3 transcription factor, locus 1 (Drosophila)(Nkx3-1)
57765	MGI:1888984	Mus musculus	T-box 21(Tbx21)
18742	MGI:1100498	Mus musculus	paired-like homeodomain transcription factor 3(Pitx3)
18741	MGI:109340	Mus musculus	paired-like homeodomain transcription factor 2(Pitx2)
18740	MGI:107374	Mus musculus	paired-like homeodomain transcription factor 1(Pitx1)
239719	MGI:3050795	Mus musculus	MKL/myocardin-like 2(Mkl2)
11865	MGI:1096381	Mus musculus	aryl hydrocarbon receptor nuclear translocator-like(Arntl)
11864	MGI:107188	Mus musculus	aryl hydrocarbon receptor nuclear translocator 2(Arnt2)
11863	MGI:88071	Mus musculus	aryl hydrocarbon receptor nuclear translocator(Arnt)
252973	MGI:2182543	Mus musculus	grainyhead-like 2 (Drosophila)(Grhl2)
60611	MGI:1926805	Mus musculus	forkhead box J2(Foxj2)
93730	MGI:1934860	Mus musculus	leucine zipper transcription factor-like 1(Lztfl1)
56233	MGI:1891835	Mus musculus	histone deacetylase 7(Hdac7)
108098	MGI:1347064	Mus musculus	mediator complex subunit 21(Med21)
73916	MGI:1921166	Mus musculus	intraflagellar transport 57(Ift57)
22282	MGI:99961	Mus musculus	upstream transcription factor 2(Usf2)
74469	MGI:1921719	Mus musculus	TATA-box binding protein associated factor 7 like(Taf7l)
22286	MGI:1276125	Mus musculus	undifferentiated embryonic cell transcription factor 1(Utf1)
72565	MGI:1919815	Mus musculus	uveal autoantigen with coiled-coil domains and ankyrin repeats(Uaca)
18538	MGI:97503	Mus musculus	proliferating cell nuclear antigen(Pcna)
22780	MGI:1342542	Mus musculus	IKAROS family zinc finger 3(Ikzf3)
18521	MGI:108202	Mus musculus	poly(rC) binding protein 2(Pcbp2)
433759	MGI:108086	Mus musculus	histone deacetylase 1(Hdac1)
56222	MGI:1861694	Mus musculus	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4(Cited4)
17869	MGI:97250	Mus musculus	myelocytomatosis oncogene(Myc)
12355	MGI:1346307	Mus musculus	nuclear receptor subfamily 1, group I, member 3(Nr1i3)
17865	MGI:101785	Mus musculus	myeloblastosis oncogene-like 2(Mybl2)
17864	MGI:99925	Mus musculus	myeloblastosis oncogene-like 1(Mybl1)
11859	MGI:106633	Mus musculus	paired-like homeobox 2a(Phox2a)
18072	MGI:97324	Mus musculus	nescient helix loop helix 2(Nhlh2)
22259	MGI:1352462	Mus musculus	nuclear receptor subfamily 1, group H, member 3(Nr1h3)
226049	MGI:1330307	Mus musculus	doublesex and mab-3 related transcription factor 2(Dmrt2)
17863	MGI:97249	Mus musculus	myeloblastosis oncogene(Myb)
194856	MGI:3613390	Mus musculus	reproductive homeobox 4E(Rhox4e)
18071	MGI:98481	Mus musculus	nescient helix loop helix 1(Nhlh1)
22255	MGI:108013	Mus musculus	UNC homeobox(Uncx)
19725	MGI:106583	Mus musculus	regulatory factor X, 2 (influences HLA class II expression)(Rfx2)
19724	MGI:105982	Mus musculus	regulatory factor X, 1 (influences HLA class II expression)(Rfx1)
214899	MGI:2136980	Mus musculus	lysine (K)-specific demethylase 5A(Kdm5a)
21907	MGI:1100526	Mus musculus	nuclear receptor subfamily 2, group E, member 1(Nr2e1)
21909	MGI:1350935	Mus musculus	T cell leukemia, homeobox 2(Tlx2)
21908	MGI:98769	Mus musculus	T cell leukemia, homeobox 1(Tlx1)
19727	MGI:1333865	Mus musculus	regulatory factor X-associated ankyrin-containing protein(Rfxank)
18510	MGI:97492	Mus musculus	paired box 8(Pax8)
18511	MGI:97493	Mus musculus	paired box 9(Pax9)
56218	MGI:1891832	Mus musculus	POZ (BTB) and AT hook containing zinc finger 1(Patz1)
22260	MGI:1352463	Mus musculus	nuclear receptor subfamily 1, group H, member 2(Nr1h2)
17878	MGI:97253	Mus musculus	myogenic factor 6(Myf6)
17877	MGI:97252	Mus musculus	myogenic factor 5(Myf5)
17876	MGI:104592	Mus musculus	myelin basic protein expression factor 2, repressor(Myef2)
114889	MGI:1890816	Mus musculus	visual system homeobox 1(Vsx1)
73181	MGI:1920431	Mus musculus	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 4(Nfatc4)
110648	MGI:1888519	Mus musculus	LIM homeobox transcription factor 1 alpha(Lmx1a)
57751	MGI:1890215	Mus musculus	ring finger protein 25(Rnf25)
18519	MGI:1343094	Mus musculus	K(lysine) acetyltransferase 2B(Kat2b)
18514	MGI:97495	Mus musculus	pre B cell leukemia homeobox 1(Pbx1)
18089	MGI:97348	Mus musculus	NK2 homeobox 3(Nkx2-3)
18516	MGI:97496	Mus musculus	pre B cell leukemia homeobox 3(Pbx3)
57756	MGI:1913192	Mus musculus	four and a half LIM domains 5(Fhl5)
11838	MGI:88067	Mus musculus	activity regulated cytoskeletal-associated protein(Arc)
